<<<<<<< Updated upstream
0 0 0
138.13271638223443 79.7020801290389 1
81.05145123491099 140.21327382195523 2
0.12253246258821993 153.87205036014436 3
-80.08695629783611 139.05543954327808 4
-131.32226751011893 76.05151471070828 5
-152.7767489133977 0.24332064332516973 6
-133.9506875208101 -77.00496312031893 7
-75.37492962399755 -129.9153068693026 8
-0.3866898213807464 -161.8636503741864 9
81.17731667681039 -141.46913562366282 10
134.75306982392746 -78.32522286081887 11
158.11230873221209 -0.5036379755209801 12
=======
0 0 0
159.6016861342771 159.47464161286234 1
0.18747281273557978 235.42190757521212 2
-163.06581868080366 163.45584579210254 3
-219.03081070635207 0.3488405018967477 4
-155.44099998098835 -154.8233196868304 5
-0.5377444909300183 -225.09329560251828 6
159.8357872637929 -160.72925042889483 7
225.99107041304973 -0.7198534136985859 8
>>>>>>> Stashed changes
